A: TGF.Non.v.CON.Non.TT,,,,,,,,,,,,,,,,,,,
B: TpS.Non.v.TGF.Non.TT,,,,,,,,,,,,,,,,,,,
C: TpK.Non.v.TGF.Non.TT,,,,,,,,,,,,,,,,,,,
D: TpK.Non.v.TpS.Non.TT,,,,,,,,,,,,,,,,,,,
>> A.only (TGF.Non.v.CON.Non.TT),,,,,,,,,,,,,,,,,,,
,,,,A,,,,,,,,,,,,,,,
PROBE_ID,ILMN_GENE,ACCESSION,CHROMOSOME,FDR_TGF.Non.v.CON.NonNA,FC_TGF.Non.v.CON.Non,AveExpr_TGF.Non.v.CON.Non,t_TGF.Non.v.CON.Non,,,,,,,,,,,,
ILMN_1772888,LOC645688,XR_017614.1,17,0.046415545,-1.327178434,11.70346335,-3.179602039,,,,,,,,,,,,
ILMN_1778684,BRE,NM_199192.1,2,0.021277185,-1.326729672,9.050869236,-3.662979085,,,,,,,,,,,,
ILMN_1654060,MKNK2,NM_199054.2,19,0.033839658,-1.32501499,7.84559089,-3.375039174,,,,,,,,,,,,
ILMN_1912333,HS.527657,BX356403,1,0.020149608,-1.323328827,6.467452463,-3.694872723,,,,,,,,,,,,
ILMN_1731561,ROBO3,NM_022370.2,11,0.038724819,-1.319909741,8.126257466,-3.285629836,,,,,,,,,,,,
ILMN_1661897,WHAMML1,NR_003521.1,15,0.015092378,-1.319751879,6.106721261,-3.877833626,,,,,,,,,,,,
ILMN_3218292,LOC202781,XM_001719263.1,7,0.039102711,-1.319075133,9.673731521,-3.279726253,,,,,,,,,,,,
ILMN_3215461,LOC100131989,XM_001725073.1,2,0.030253293,-1.318142236,8.426664397,-3.445519066,,,,,,,,,,,,
ILMN_3304049,LOC729500,XR_018655.2,,0.040806688,-1.317229045,10.00092193,-3.254197647,,,,,,,,,,,,
ILMN_1689749,LOC645212,XM_928252.2,15,0.041354038,-1.3158465,6.442132025,-3.245474304,,,,,,,,,,,,
ILMN_1672720,PRSS12,NM_003619.2,4,0.039214796,-1.315531347,7.085732061,-3.277577807,,,,,,,,,,,,
ILMN_1782829,GLTSCR1,NM_015711.2,19,0.021420326,-1.310782871,8.283707492,-3.658866935,,,,,,,,,,,,
ILMN_1749244,LYRM1,NM_020424.2,16,0.033509292,-1.310085974,9.814700272,-3.380592488,,,,,,,,,,,,
ILMN_2215061,ORC6L,NM_014321.2,16,0.0414348,-1.309402032,13.57179081,-3.244222156,,,,,,,,,,,,
ILMN_3239361,LOC100133298,XM_001719906.1,9,0.018718397,-1.309221113,7.288639203,-3.737159373,,,,,,,,,,,,
ILMN_1765696,FARSLB,NM_005687.2,2,0.044881781,-1.307605302,13.18404611,-3.198797767,,,,,,,,,,,,
ILMN_1725366,SLC27A5,NM_012254.1,19,0.048053903,-1.307398915,6.885420517,-3.158179171,,,,,,,,,,,,
ILMN_1795839,SCCPDH,NM_016002.2,1,0.030741108,-1.303463127,8.935475329,-3.435914201,,,,,,,,,,,,
ILMN_2409062,ISCU,NM_213595.1,12,0.037262293,-1.30035677,11.52028146,-3.311831192,,,,,,,,,,,,
ILMN_1659536,FAM24B,NM_152644.1,10,0.017110507,-1.295361023,6.703753001,-3.790417022,,,,,,,,,,,,
ILMN_1694058,IFITM4P,NR_001590.1,6,0.025316264,-1.282808286,6.505988404,-3.556430334,,,,,,,,,,,,
ILMN_2129102,FLJ40453,NM_001007542.1,5,0.042257153,-1.282792026,6.422097753,-3.232616417,,,,,,,,,,,,
ILMN_3269655,FLJ35390,NR_024416.1,7,0.041015267,-1.27457502,10.01992772,-3.250921032,,,,,,,,,,,,
ILMN_2410371,CD79A,NM_021601.3,19,0.00553753,-1.274153641,6.31512765,-4.472599584,,,,,,,,,,,,
ILMN_2406532,F11R,NM_016946.3,1,0.018597797,-1.272334624,6.193957389,-3.741641481,,,,,,,,,,,,
ILMN_1702383,CNGB1,NM_001297.1,,0.017751135,-1.270069557,6.677179617,-3.767287888,,,,,,,,,,,,
ILMN_1702519,LOC643466,XM_926789.1,9,0.02565408,-1.269122907,6.364556567,-3.548850621,,,,,,,,,,,,
ILMN_1788729,TCF23,NM_175769.1,2,0.00848025,-1.261452424,6.235915461,-4.224872732,,,,,,,,,,,,
ILMN_1657009,NFASC,NM_015090.2,1,0.026806871,-1.260378016,6.485589415,-3.517595419,,,,,,,,,,,,
ILMN_1670325,SLC47A1,NM_018242.2,17,0.048694637,-1.258635513,6.207413311,-3.150017982,,,,,,,,,,,,
ILMN_1860954,HS.211743,CR978491,11,0.024115989,-1.25850251,6.18850283,-3.586065653,,,,,,,,,,,,
ILMN_1672486,TCF7L2,NM_030756.2,10,0.014494274,-1.25688244,7.012335025,-3.901548967,,,,,,,,,,,,
ILMN_1812638,ATP5L,NM_006476.4,11,0.011521058,-1.255922875,12.08434654,-4.035336471,,,,,,,,,,,,
ILMN_3244248,TMEM14D,XM_928242.2,10,0.037305302,-1.254443504,10.72964528,-3.310960952,,,,,,,,,,,,
ILMN_1797965,PDP2,NM_020786.1,16,0.02620697,-1.253979055,6.2941441,-3.532771302,,,,,,,,,,,,
ILMN_2402090,RPLP0,NM_001002.3,12,0.026806871,-1.253681856,6.09646505,-3.517495394,,,,,,,,,,,,
ILMN_1716400,FOXM1,NM_202003.1,12,0.01387053,-1.252408882,6.565203295,-3.926432058,,,,,,,,,,,,
ILMN_3309143,MIR9-1,NR_029691.1,,0.037996339,-1.24758957,6.211290897,-3.299946069,,,,,,,,,,,,
ILMN_3201986,LOC100132795,XR_037785.1,,0.034001538,-1.246939928,12.30271564,-3.370662839,,,,,,,,,,,,
ILMN_1705049,TMEM67,NM_153704.3,8,0.015282832,-1.245022681,6.56104125,-3.868089632,,,,,,,,,,,,
ILMN_1755983,NFATC3,NM_004555.2,16,0.015475687,-1.242315002,6.765217986,-3.859067732,,,,,,,,,,,,
ILMN_1705172,SLC26A7,NM_052832.2,8,0.039480087,-1.2411284,6.149058568,-3.273546108,,,,,,,,,,,,
ILMN_1707699,LOC644830,XM_927926.1,X,0.044925787,-1.240308556,6.33926417,-3.197935889,,,,,,,,,,,,
ILMN_1799189,LOC730510,XM_001126144.1,,0.045330769,-1.238495005,6.23020635,-3.193507097,,,,,,,,,,,,
ILMN_3249291,F2,NM_000506.3,11,0.046164951,-1.237882112,6.286157683,-3.183476946,,,,,,,,,,,,
ILMN_1784737,S1PR4,NM_003775.2,19,0.049320316,-1.236317504,6.552923812,-3.140201751,,,,,,,,,,,,
ILMN_3290353,LOC644790,XM_927887.3,1,0.046534908,-1.235976429,10.956152,-3.177916467,,,,,,,,,,,,
ILMN_3271630,FGGY,NM_018291.3,1,0.033999333,-1.23488879,7.146449409,-3.371099379,,,,,,,,,,,,
ILMN_1665948,LOC651772,XM_940995.1,,0.032065152,-1.233207926,6.499336179,-3.407488948,,,,,,,,,,,,
ILMN_3308778,MIR488,NR_030163.1,,0.018971921,-1.23059755,6.988947787,-3.729938724,,,,,,,,,,,,
ILMN_3309914,MIR660,NR_030397.1,,0.012938576,-1.228394769,6.123164355,-3.966698469,,,,,,,,,,,,
ILMN_1784889,TAC3,NM_001006667.1,12,0.038632671,-1.228269775,6.047410537,-3.288040374,,,,,,,,,,,,
ILMN_3239307,LOC100132315,XM_001725233.1,4,0.013536024,-1.227930987,6.080165139,-3.939821408,,,,,,,,,,,,
ILMN_1673185,CPSF2,NM_017437.1,14,0.026707716,-1.226137616,8.057098184,-3.520701713,,,,,,,,,,,,
ILMN_1847849,HS.577761,BG401236,12,0.023008536,-1.222804425,6.116400656,-3.617579379,,,,,,,,,,,,
ILMN_3298124,LOC728816,XM_001715417.1,21,0.039997894,-1.22113133,6.130845772,-3.265194794,,,,,,,,,,,,
ILMN_1683660,EIF3H,NM_003756.2,8,0.049279113,-1.220400546,11.21870726,-3.14220267,,,,,,,,,,,,
ILMN_1810051,EPB41L4B,NM_019114.3,9,0.024996649,-1.219390252,6.240719216,-3.563366465,,,,,,,,,,,,
ILMN_2405534,GAB1,NM_002039.2,4,0.041796572,-1.218508848,6.30227923,-3.239645965,,,,,,,,,,,,
ILMN_3249383,LOC728444,XR_037024.1,7,0.040112445,-1.217614524,6.230541106,-3.263684125,,,,,,,,,,,,
ILMN_1675488,SLC13A3,NM_022829.4,20,0.005316087,-1.215245594,6.273403891,-4.497641049,,,,,,,,,,,,
ILMN_1763730,APPL1,NM_012096.2,3,0.025761446,-1.214679044,8.028641924,-3.544790607,,,,,,,,,,,,
ILMN_1733466,LOC388333,XM_371014.3,17,0.019274424,-1.213483931,6.127197858,-3.720536952,,,,,,,,,,,,
ILMN_1666214,LOC646012,XM_001132089.1,,0.018780005,-1.212300768,6.228642884,-3.735386745,,,,,,,,,,,,
ILMN_1714223,LETM2,NM_144652.1,8,0.037592715,-1.211068074,6.178665004,-3.306801798,,,,,,,,,,,,
ILMN_2289887,SEPN1,NM_020451.2,1,0.032929193,-1.210771299,6.140061245,-3.391075659,,,,,,,,,,,,
ILMN_1761442,WDR24,NM_032259.2,16,0.022447803,-1.210473418,6.713637526,-3.632710207,,,,,,,,,,,,
ILMN_1742379,IFT122,NM_052989.1,3,0.030043701,-1.21018418,7.525091575,-3.449784086,,,,,,,,,,,,
ILMN_3245204,LOC728212,XM_001128268.2,22,0.026791904,-1.209771578,6.053354413,-3.518321894,,,,,,,,,,,,
ILMN_1716153,LOC342892,XM_292740.4,19,0.031280601,-1.206559589,6.343289231,-3.42369654,,,,,,,,,,,,
ILMN_1759319,SCAND2,NR_003654.1,,0.013126174,-1.205598023,6.277850483,-3.959222632,,,,,,,,,,,,
ILMN_3184950,LOC100129623,XM_001722456.1,,0.03211093,-1.204979177,6.151275779,-3.406535905,,,,,,,,,,,,
ILMN_1779579,TUB,NM_177972.1,11,0.048960583,-1.202615192,6.142588035,-3.147002349,,,,,,,,,,,,
ILMN_1846419,HS.538365,AW274688,10,0.049279113,-1.202321696,6.208279995,-3.141678577,,,,,,,,,,,,
ILMN_2382998,ZCCHC16,XM_937313.1,,0.029212542,-1.196347647,6.345433251,-3.464576225,,,,,,,,,,,,
ILMN_1897142,HS.183176,BX109554,13,0.044198692,-1.195970751,6.140796176,-3.20766325,,,,,,,,,,,,
ILMN_1810185,LOC150356,XM_377720.2,22,0.032438245,-1.194837541,6.16570101,-3.400673613,,,,,,,,,,,,
ILMN_3235949,HIST1H3E,NM_003532.2,6,0.046415545,-1.193155868,6.584396608,-3.179555312,,,,,,,,,,,,
