A: TGF.Non.v.CON.Non.TT,,,,,,,,,,,,,,,,,,,
B: TpS.Non.v.TGF.Non.TT,,,,,,,,,,,,,,,,,,,
C: TpK.Non.v.TGF.Non.TT,,,,,,,,,,,,,,,,,,,
D: TpK.Non.v.TpS.Non.TT,,,,,,,,,,,,,,,,,,,
>> A.only (TGF.Non.v.CON.Non.TT),,,,,,,,,,,,,,,,,,,
,,,,A,,,,,,,,,,,,,,,
PROBE_ID,ILMN_GENE,ACCESSION,CHROMOSOME,FDR_TGF.Non.v.CON.NonNA,FC_TGF.Non.v.CON.Non,AveExpr_TGF.Non.v.CON.Non,t_TGF.Non.v.CON.Non,,,,,,,,,,,,
ILMN_1698020,DLC1,NM_024767.2,8,0.037543898,1.744042152,7.45214019,3.307503711,0.000256437,-2.649120628,7.45214019,-5.793293875,0.014120637,-1.906896786,7.45214019,-3.838362365,,,,
ILMN_2363658,PXDN,NM_012293.1,2,0.005569648,1.744795031,11.87129185,4.467429693,0.000341992,-2.018111468,11.87129185,-5.635377408,0.004273587,-1.760761256,11.87129185,-4.540537519,,,,
ILMN_2048478,SLC22A3,NM_021977.2,6,0.002214781,1.745797642,6.476517262,5.023183866,0.000367857,-1.859392083,6.476517262,-5.591462978,0.00253148,-1.71046204,6.476517262,-4.838847838,,,,
ILMN_1748291,C1ORF55,NM_152608.3,1,0.000980853,1.745924419,8.421115038,5.505494015,0.000205133,-1.822386817,8.421115038,-5.928943157,0.000307139,-1.852026824,8.421115038,-6.088328825,,,,
ILMN_1768816,TMPO,NM_003276.1,12,0.020336913,1.746240784,7.182650468,3.6891712,0.000211481,-2.44226457,7.182650468,-5.909166904,0.001197252,-2.221105879,7.182650468,-5.281005966,,,,
ILMN_1657153,ACTR3,NM_005721.3,2,0.004510428,1.746773716,9.634511821,4.600447445,5.45E-06,-2.688216181,9.634511821,-8.156187152,6.34E-05,-2.372988285,9.634511821,-7.127441981,,,,
ILMN_1797604,CAP1,NM_006367.2,1,0.00011752,1.747747113,12.34999351,6.863620322,3.14E-07,-2.309295427,12.34999351,-10.28868247,5.66E-05,-1.797341787,12.34999351,-7.207598113,,,,
ILMN_1727361,LEMD3,NM_014319.3,12,0.000460294,1.748829233,8.573733775,5.96518836,0.000646045,-1.638394877,8.573733775,-5.269045946,0.000176468,-1.828865559,8.573733775,-6.442761837,,,,
ILMN_2162328,PTS,NM_000317.1,11,0.018220818,1.74992715,10.67668186,3.753143045,0.001570042,-2.040569392,10.67668186,-4.783727018,0.000808701,-2.273315479,10.67668186,-5.508168363,,,,
ILMN_2216852,PGK1,NM_000291.2,X,0.000411711,1.750478957,9.33525767,6.039806242,3.60E-05,-1.904105241,9.33525767,-6.947280444,0.001359684,-1.620296518,9.33525767,-5.206145462,,,,
ILMN_2405297,NOTCH2,NM_024408.2,1,0.014568997,1.750502735,7.760438485,3.898728708,0.006148844,-1.789731392,7.760438485,-4.053051273,0.005634593,-1.876943196,7.760438485,-4.384354007,,,,
ILMN_1687301,VCAN,NM_004385.2,5,0.015282832,1.752887579,12.70339034,3.866666821,0.000557802,-2.175165672,12.70339034,-5.353635614,0.015348912,-1.733400176,12.70339034,-3.789648428,,,,
ILMN_1659766,BAG3,NM_004281.3,10,0.000593324,1.753080243,10.08787942,5.812176966,0.000225433,-1.763474543,10.08787942,-5.873383159,0.000581632,-1.735310931,10.08787942,-5.706698108,,,,
ILMN_2062754,SRA1,NM_001035235.2,5,0.000386774,1.753088503,8.221851665,6.078400702,1.69E-07,-2.721389605,8.221851665,-10.83999419,5.05E-06,-2.301583751,8.221851665,-9.025878493,,,,
ILMN_1730464,DNAL1,NM_031427.1,14,0.000318935,1.754175426,7.299222887,6.192938382,2.56E-06,-2.195424588,7.299222887,-8.665452458,8.02E-05,-1.883136075,7.299222887,-6.974656321,,,,
ILMN_1726839,DCUN1D5,NM_032299.2,11,0.000607402,1.754965366,10.02342181,5.798558142,2.15E-05,-2.024615618,10.02342181,-7.27209981,0.001204264,-1.668183948,10.02342181,-5.275727864,,,,
ILMN_2109708,ECGF1,NM_001953.2,22,0.014804894,1.760684116,9.570621143,3.889158755,1.27E-05,-3.024190244,9.570621143,-7.608084164,0.002472149,-2.026315719,9.570621143,-4.855200398,,,,
ILMN_1795666,SNX24,NM_014035.1,5,0.000113269,1.761646879,6.958468324,6.889273856,1.65E-06,-2.090212666,6.958468324,-8.969950009,0.000908505,-1.564344696,6.958468324,-5.444110716,,,,
ILMN_1701402,IKBIP,NM_153687.2,12,0.001525047,1.761850885,8.201541506,5.252455962,7.41E-05,-2.016243195,8.201541506,-6.50324748,0.000188188,-1.99348426,8.201541506,-6.397969425,,,,
ILMN_2388585,GOPC,NM_020399.2,6,0.00023987,1.768765311,8.651754284,6.391727865,1.63E-06,-2.229975026,8.651754284,-8.98872251,0.000307139,-1.721629328,8.651754284,-6.088992439,,,,
ILMN_1690911,C16ORF87,NM_001001436.2,16,2.40E-05,1.771494349,7.723196341,7.961713186,1.47E-06,-1.919210232,7.723196341,-9.076840691,0.000151102,-1.600901714,7.723196341,-6.551882027,,,,
ILMN_2041577,GPR172A,NM_024531.3,8,0.010268816,1.773603755,9.315883394,4.10656519,0.00045181,-2.146217522,9.315883394,-5.473191473,0.006854779,-1.812938223,9.315883394,-4.263767395,,,,
ILMN_1722089,RNF217,NM_152553.2,6,1.73E-05,1.774281265,6.98075769,8.225858753,1.69E-07,-2.12978068,6.98075769,-10.84575382,1.16E-05,-1.790716514,6.98075769,-8.358133555,,,,
ILMN_1753507,FRMPD3,XM_042978.6,X,1.90E-05,1.778059337,6.458232742,8.154322824,5.56E-05,-1.602336323,6.458232742,-6.679946538,1.53E-05,-1.777283585,6.458232742,-8.148139857,,,,
ILMN_2297765,KCNMA1,NM_002247.2,10,0.016220026,1.778399793,10.52025958,3.824130744,0.006324724,-1.836773836,10.52025958,-4.03865891,0.000501911,-2.395434254,10.52025958,-5.802577617,,,,
ILMN_2349138,CDC42SE1,NM_001038707.1,1,0.003121961,1.778403693,7.729674356,4.817689316,0.001226434,-1.798954381,7.729674356,-4.913834844,0.007547654,-1.653067295,7.729674356,-4.206113237,,,,
ILMN_3247723,NOP16,NM_016391.4,5,0.00561166,1.778422436,8.562778972,4.462060693,4.15E-06,-2.934099631,8.562778972,-8.342439176,0.000170885,-2.303584089,8.562778972,-6.467372243,,,,
ILMN_1662306,RABL3,NM_173825.3,3,0.000421395,1.778624367,7.714109544,6.021976325,6.18E-06,-2.161111171,7.714109544,-8.058955016,0.000618432,-1.719309975,7.714109544,-5.667279675,,,,
ILMN_1676358,RALB,NM_002881.2,2,3.15E-05,1.778695639,10.61182912,7.755926516,0.000262826,-1.535916551,10.61182912,-5.779464565,9.07E-05,-1.669309445,10.61182912,-6.901112116,,,,
ILMN_3289247,LOC400750,XR_039444.1,1,0.001539931,1.779415696,6.89557515,5.246607705,0.000846235,-1.754431882,6.89557515,-5.117874851,0.003523743,-1.666543367,6.89557515,-4.649979204,,,,
ILMN_1672776,COL10A1,NM_000493.3,6,0.016784833,1.781090059,6.285946254,3.802678267,0.003371321,-1.941178678,6.285946254,-4.369693519,0.026435886,-1.691877056,6.285946254,-3.46414835,,,,
ILMN_3255061,CYTSB,NM_001033555.1,17,0.003144488,1.781431892,7.068327409,4.811413223,0.000357763,-1.960716812,7.068327409,-5.610452386,0.018963549,-1.551169709,7.068327409,-3.658107405,,,,
ILMN_1718266,DGKI,NM_004717.2,7,0.014757466,1.782069848,6.542440621,3.891364214,0.004495918,-1.870890812,6.542440621,-4.218952855,0.00172084,-2.121270098,6.542440621,-5.064881051,,,,
ILMN_1715748,FLNC,NM_001458.3,7,0.006635107,1.787053688,11.29791952,4.360771175,0.00052225,-2.04914778,11.29791952,-5.38872337,0.021056216,-1.613976357,11.29791952,-3.595623895,,,,
ILMN_1733519,HMGB3,NM_005342.2,X,0.000199919,1.789907188,7.155770665,6.496464036,0.000225596,-1.692559184,7.155770665,-5.872420144,0.002027293,-1.561618327,7.155770665,-4.973894754,,,,
ILMN_1737580,PPPDE2,NM_015704.1,22,0.001175168,1.790119596,9.166985468,5.404209997,5.44E-06,-2.408443192,9.166985468,-8.157889154,5.20E-05,-2.191476824,9.166985468,-7.281709745,,,,
ILMN_1761031,PTPDC1,NM_152422.3,9,0.000737276,1.791547922,7.284611047,5.680305604,2.83E-05,-2.072125964,7.284611047,-7.097704026,5.75E-05,-2.093246995,7.284611047,-7.196499831,,,,
ILMN_1671250,CLIC4,NM_013943.1,1,0.001157329,1.792305099,8.234588953,5.412457683,3.16E-05,-2.133705837,8.234588953,-7.029766617,0.000356148,-1.910894237,8.234588953,-6.006747232,,,,
ILMN_1725108,SNX25,NM_031953.2,4,0.017751135,1.792329908,7.904536566,3.767476094,0.000114899,-2.632618636,7.904536566,-6.249760703,0.01009186,-1.868666994,7.904536566,-4.036770048,,,,
ILMN_2085844,GXYLT2,NM_001080393.1,3,0.003509111,1.793529748,6.645795132,4.750078775,0.000329411,-2.004570399,6.645795132,-5.654617602,0.001278633,-1.905503343,6.645795132,-5.242503745,,,,
ILMN_2326591,ANXA6,NM_004033.2,5,0.000149393,1.794244283,7.636426123,6.704460705,0.000279942,-1.650217387,7.636426123,-5.744789364,1.71E-05,-2.020940503,7.636426123,-8.06900482,,,,
ILMN_1669572,RNF126,NM_194460.1,19,0.000352337,1.795069396,7.34958713,6.136738825,0.001309244,-1.592247911,7.34958713,-4.879096224,0.011640889,-1.457700711,7.34958713,-3.953027007,,,,
ILMN_1808305,RTCD1,NM_003729.2,1,0.010762788,1.798424624,9.089992201,4.07781321,0.001857871,-1.964462747,9.089992201,-4.691368519,0.00146264,-2.101654778,9.089992201,-5.160396618,,,,
ILMN_1677946,LOC653764,XM_929539.1,3,0.000572803,1.79871454,7.189833924,5.834454391,2.41E-05,-2.063576597,7.189833924,-7.199652264,0.000711124,-1.75365671,7.189833924,-5.582330562,,,,
ILMN_1681249,KIF21A,NM_017641.2,12,0.007349603,1.799411292,7.407114828,4.302959842,0.001750743,-1.906114921,7.407114828,-4.724917334,0.003698917,-1.879872509,7.407114828,-4.623374133,,,,
ILMN_1769245,GLIPR1,NM_006851.2,12,0.002484651,1.79969924,9.627169126,4.954625421,2.90E-06,-2.767825475,9.627169126,-8.583982083,2.38E-06,-3.158814786,9.627169126,-9.69810251,,,,
ILMN_1771051,RPL29,NM_000992.2,3,0.003350631,1.801683786,7.874815339,4.776395436,0.00060748,-1.922404392,7.874815339,-5.3025749,0.003140548,-1.788420762,7.874815339,-4.716449783,,,,
ILMN_1751607,FOSB,NM_006732.1,19,0.004334876,1.801918825,6.879877905,4.628579983,0.002421151,-1.783987609,6.879877905,-4.549968506,0.026310976,-1.55452237,6.879877905,-3.467734788,,,,
ILMN_3236367,IFFO2,NM_001136265.1,1,2.30E-05,1.802397489,6.872921391,8.018252261,3.54E-05,-1.667130839,6.872921391,-6.956439086,1.50E-05,-1.821827116,6.872921391,-8.164187832,,,,
ILMN_2355665,MTP18,NM_016498.3,22,0.000462381,1.803190198,7.817360722,5.962301143,6.93E-06,-2.203149049,7.817360722,-7.988277728,0.003110753,-1.594982691,7.817360722,-4.721468979,,,,
ILMN_2226415,LOC440145,NM_001071775.1,13,0.00067346,1.80369651,7.244209259,5.732721018,5.56E-05,-1.988140923,7.244209259,-6.678994342,0.000198247,-1.924362526,7.244209259,-6.362099432,,,,
ILMN_1749213,SDF2L1,NM_022044.2,22,0.027043448,1.804642886,9.285762169,3.512097711,0.006235699,-1.973861381,9.285762169,-4.045305112,0.042823097,-1.70437303,9.285762169,-3.172017817,,,,
ILMN_1764927,CDC42EP1,NM_152243.1,22,9.98E-05,1.80640994,8.181732776,6.968260606,3.67E-07,-2.364897292,8.181732776,-10.1427412,2.17E-07,-2.741530052,8.181732776,-11.88417275,,,,
ILMN_3294642,LOC392787,XR_017429.1,7,0.000202721,1.806597948,6.971025803,6.485120288,0.000167785,-1.73440706,6.971025803,-6.037974305,0.002474901,-1.556888742,6.971025803,-4.85403013,,,,
ILMN_1711009,ISLR,NM_201526.1,15,0.00553753,1.807568994,6.95416456,4.472075519,0.000848233,-1.968451021,6.95416456,-5.116194716,0.008159366,-1.734751521,6.95416456,-4.161448712,,,,
ILMN_1675542,LOC729148,XM_001129792.1,X,0.00017711,1.807765026,9.984756058,6.575429079,6.13E-05,-1.814216237,9.984756058,-6.614989506,0.000529324,-1.680538304,9.984756058,-5.764986596,,,,
ILMN_1738407,ULBP1,NM_025218.2,6,0.000571377,1.808923606,6.817799998,5.837948673,2.80E-05,-2.057239201,6.817799998,-7.104882774,0.00088065,-1.740992879,6.817799998,-5.460955873,,,,
ILMN_1790891,CKAP4,NM_006825.2,12,0.001444437,1.810390886,12.3052557,5.286951235,5.25E-05,-2.125561997,12.3052557,-6.716538286,0.006764246,-1.615531701,12.3052557,-4.27258311,,,,
ILMN_2220187,GFPT1,NM_002056.1,2,0.00575694,1.811296583,10.20035209,4.446582617,8.41E-05,-2.360238032,10.20035209,-6.428084705,0.001588793,-1.980066021,10.20035209,-5.113426402,,,,
ILMN_1674706,MTHFD2,NM_006636.3,2,0.030812686,1.81167886,10.85341172,3.433993265,5.98E-06,-4.049346826,10.85341172,-8.081781161,0.001974875,-2.371294568,10.85341172,-4.989505705,,,,
ILMN_3238676,ULBP2,NM_025217.2,6,0.000645783,1.812355226,7.17196381,5.76102951,0.000546708,-1.739525046,7.17196381,-5.363655697,0.001649064,-1.690772726,7.17196381,-5.08824677,,,,
ILMN_1730639,SLC22A15,NM_018420.1,1,0.023052277,1.81577081,8.028150961,3.616070354,4.53E-05,-3.074034979,8.028150961,-6.807621164,0.045436186,-1.678070482,8.028150961,-3.137984481,,,,
ILMN_1658639,SLC46A3,NM_181785.2,13,0.03674224,1.816521143,7.879049687,3.321531055,0.011000047,-1.958807297,7.879049687,-3.74115813,0.03041908,-1.836589125,7.879049687,-3.38266679,,,,
ILMN_1779258,LOC644774,XM_927868.1,X,9.67E-05,1.816710762,9.821161677,7.011638593,1.69E-05,-1.881798475,9.821161677,-7.425040292,0.011726301,-1.399661172,9.821161677,-3.948769853,,,,
ILMN_1753243,DNAJB11,NM_016306.4,3,2.40E-05,1.818634418,11.02408651,7.964726166,1.59E-06,-1.968835967,11.02408651,-9.021520017,8.69E-05,-1.682309237,11.02408651,-6.927083328,,,,
ILMN_1713163,SMARCA5,NM_003601.2,4,0.000177093,1.81889497,8.367826191,6.577927022,1.06E-05,-2.017495878,8.367826191,-7.717384853,0.001810566,-1.580951371,8.367826191,-5.036308947,,,,
ILMN_1724293,KDELR2,NM_006854.3,7,7.25E-06,1.820454373,10.92409934,8.896513429,1.00E-07,-2.141339083,10.92409934,-11.30736324,8.50E-07,-2.041217326,10.92409934,-10.59626402,,,,
ILMN_2411897,KLF10,NM_005655.1,8,0.001346462,1.822789492,6.898278586,5.326143783,6.17E-05,-2.107028892,6.898278586,-6.611715137,0.007504195,-1.607268759,6.898278586,-4.209832267,,,,
ILMN_1706817,SERP1,NM_014445.3,3,8.37E-05,1.828232846,9.72519038,7.109442842,6.29E-06,-1.979641573,9.72519038,-8.04699121,0.002369064,-1.512999983,9.72519038,-4.879392402,,,,
ILMN_3284114,LOC399748,XR_018212.1,,0.000147151,1.828626773,11.23026171,6.720733576,9.20E-07,-2.325942838,11.23026171,-9.399384889,0.00031787,-1.724794739,11.23026171,-6.069808945,,,,
ILMN_1777061,ZSWIM6,XM_035299.8,5,0.000704127,1.830953278,8.101183941,5.705691644,0.001952345,-1.639760251,8.101183941,-4.665308539,0.012552029,-1.513407919,8.101183941,-3.908878331,,,,
ILMN_1702861,SGCD,NM_172244.2,5,0.015481718,1.831192043,8.132359957,3.857669705,0.00010593,-2.684461138,8.132359957,-6.296824168,0.001459373,-2.24689079,8.132359957,-5.162208341,,,,
ILMN_1668507,DDAH1,NM_012137.2,1,0.000437902,1.833596349,10.90382358,5.994503179,7.06E-07,-2.640699873,10.90382358,-9.601064515,3.06E-06,-2.590707683,10.90382358,-9.412088231,,,,
ILMN_2349610,DPH3,NM_001047434.1,3,0.000503106,1.834223454,8.345217267,5.909352278,4.84E-05,-2.002623315,8.345217267,-6.765007215,0.000553677,-1.80148961,8.345217267,-5.733935377,,,,
ILMN_1691508,PLAUR,NM_001005376.1,19,0.009582822,1.83584492,8.49195199,4.152238733,0.012004077,-1.716197691,8.49195199,-3.69160961,0.00155919,-2.116713872,8.49195199,-5.125256062,,,,
ILMN_1786326,KCTD15,NM_024076.1,19,0.005549185,1.838353489,7.61749713,4.470555926,1.38E-05,-2.799239789,7.61749713,-7.557860904,7.02E-05,-2.614498438,7.61749713,-7.056555667,,,,
ILMN_1798204,IL21R,NM_181078.1,16,0.000137295,1.839039263,6.450470679,6.768114268,0.000171216,-1.720066683,6.450470679,-6.025138376,0.000562721,-1.674300583,6.450470679,-5.725554585,,,,
ILMN_1776105,PSPH,NM_004577.3,7,0.007110645,1.839863247,8.680678187,4.319620431,1.78E-05,-2.836929968,8.680678187,-7.387616781,0.004432434,-1.89232504,8.680678187,-4.518813311,,,,
ILMN_1801852,SEC61B,NM_006808.2,9,1.83E-06,1.840719731,12.3527972,10.04738759,6.69E-08,-2.029681205,12.3527972,-11.65656725,1.49E-07,-2.104349071,12.3527972,-12.2514743,,,,
ILMN_1687335,FLNA,NM_001456.2,X,0.005924659,1.842051536,8.673282847,4.428890682,0.000981273,-2.002598274,8.673282847,-5.034742525,0.015164618,-1.688055464,8.673282847,-3.795944766,,,,
ILMN_1738712,GPR180,NM_180989.4,13,0.001336018,1.84387386,8.303577242,5.333970031,6.26E-05,-2.132435874,8.303577242,-6.601462579,0.00029002,-2.019921105,8.303577242,-6.128917232,,,,
ILMN_1800951,ATXN1,NM_000332.2,6,0.002390701,1.844212955,8.864462771,4.980103836,9.87E-05,-2.17859682,8.864462771,-6.335913376,0.002906552,-1.794587037,8.864462771,-4.758152922,,,,
ILMN_1655935,ADCY7,NM_001114.3,16,0.010168228,1.844502654,8.315457031,4.11434102,0.000173304,-2.448501757,8.315457031,-6.018027897,0.003120207,-2.018409374,8.315457031,-4.719856568,,,,
ILMN_3236821,HSPBL2,NR_024392.1,9,0.001624044,1.844608836,9.021881472,5.218152418,2.62E-05,-2.31312052,9.021881472,-7.14709069,4.93E-05,-2.36331193,9.021881472,-7.330042679,,,,
ILMN_2372974,SIRPA,NM_080792.2,20,4.41E-05,1.845377527,8.366840701,7.536370953,0.000614887,-1.5381423,8.366840701,-5.29632976,0.000176991,-1.688072512,8.366840701,-6.440431447,,,,
ILMN_2370573,XAF1,NM_199139.1,17,0.001010195,1.845918692,7.217797521,5.488158143,8.43E-06,-2.407106451,7.217797521,-7.864792179,0.000103379,-2.136687792,7.217797521,-6.797842595,,,,
ILMN_1714278,C9ORF30,NM_080655.1,9,0.005119573,1.846026508,9.851022195,4.518727944,0.025466661,-1.559667273,9.851022195,-3.276238283,0.044819113,-1.532216662,9.851022195,-3.145349989,,,,
ILMN_2408645,LOC653566,NM_001080536.1,,0.001779216,1.847842053,8.564022071,5.164420417,0.000231806,-2.006056157,8.564022071,-5.855390497,0.019744706,-1.540096799,8.564022071,-3.632187844,,,,
ILMN_1700419,HSPC171,NM_014187.2,,3.17E-05,1.849524068,9.124328342,7.746274933,5.13E-07,-2.19082097,9.124328342,-9.879557906,2.21E-06,-2.174458347,9.124328342,-9.785121098,,,,
ILMN_1816603,HS.31961,AK095013,2,0.002895593,1.850247103,6.723906891,4.864594712,0.001661352,-1.824294292,6.723906891,-4.752917471,0.007358084,-1.70603942,6.723906891,-4.223080836,,,,
ILMN_1803744,SELS,NM_018445.4,15,0.002065086,1.859158208,10.15005474,5.074006544,0.000102756,-2.162955029,10.15005474,-6.312402372,0.01753403,-1.573003611,10.15005474,-3.706451131,,,,
ILMN_2411731,HPS5,NM_007216.3,11,0.000230773,1.859389965,8.139492364,6.410993831,2.04E-06,-2.345418662,8.139492364,-8.811212441,5.20E-06,-2.383634938,8.139492364,-8.978272735,,,,
ILMN_1675788,ZNF175,NM_007147.2,19,2.18E-05,1.862783057,7.646200615,8.052300647,2.75E-05,-1.732899435,7.646200615,-7.116740676,0.000140373,-1.664809317,7.646200615,-6.597862191,,,,
ILMN_1777721,MAPRE1,NM_012325.1,20,0.000399527,1.862966116,11.29344318,6.060050637,3.18E-06,-2.399015283,11.29344318,-8.523231207,0.000186088,-1.930871957,11.29344318,-6.408766719,,,,
ILMN_1667925,PDCL3,NM_024065.3,2,0.000852351,1.863267606,8.573387284,5.600196634,1.96E-05,-2.258722896,8.573387284,-7.332163215,0.005998696,-1.620145493,8.573387284,-4.342031953,,,,
ILMN_1737252,NRG1,NM_013962.2,8,9.76E-05,1.864673015,6.556153627,6.994696335,5.78E-06,-2.058745348,6.556153627,-8.106184031,1.40E-05,-2.080156981,6.556153627,-8.222334126,,,,
ILMN_1767362,ADAMTS6,NM_197941.2,5,0.028208786,1.865382735,7.688419676,3.485586453,0.001765456,-2.326079529,7.688419676,-4.719545221,0.009457332,-2.073809974,7.688419676,-4.077755809,,,,
ILMN_2078389,SLC4A2,NM_003040.2,7,0.000187911,1.87765088,8.072065322,6.53766723,1.61E-05,-2.051925361,8.072065322,-7.458690323,0.002951454,-1.580312032,8.072065322,-4.748699203,,,,
ILMN_1805192,ITPRIP,NM_033397.2,10,0.001672066,1.878377692,9.918986242,5.200730361,0.005771428,-1.641018439,9.918986242,-4.086256002,0.026461062,-1.521720251,9.918986242,-3.463598929,,,,
ILMN_3239055,TMEM208,NM_014187.3,16,7.04E-05,1.87879484,8.570706176,7.219128735,3.89E-07,-2.413932965,8.570706176,-10.08817365,1.59E-05,-2.032546773,8.570706176,-8.119576388,,,,
ILMN_1773865,HSPA5,NM_005347.2,9,0.00138425,1.881609095,10.03286345,5.311250247,0.00053212,-1.896894076,10.03286345,-5.37922845,0.03282298,-1.487857086,10.03286345,-3.338497802,,,,
ILMN_1735658,RTTN,NM_173630.2,18,0.000147151,1.884299419,8.956059663,6.720403557,6.85E-07,-2.478495691,8.956059663,-9.627855325,3.91E-07,-2.8946142,8.956059663,-11.27412927,,,,
ILMN_2085236,SNX24,NM_014035.1,5,0.00015761,1.884720299,7.426030942,6.665444733,1.59E-06,-2.356555478,7.426030942,-9.015164754,0.001031568,-1.666664698,7.426030942,-5.372329779,,,,
ILMN_1665243,FKBP14,NM_017946.2,7,0.001513844,1.890661225,9.115916017,5.256928165,2.66E-05,-2.373965068,9.115916017,-7.135732702,2.44E-06,-3.227416077,9.115916017,-9.670575939,,,,
ILMN_1779228,CDH2,NM_001792.2,18,0.029976275,1.893169901,12.5961417,3.450903657,0.000117309,-3.170191762,12.5961417,-6.238321905,0.000867692,-2.750252719,12.5961417,-5.470019691,,,,
ILMN_1667707,SPCS3,NM_021928.1,4,1.24E-05,1.894273323,7.547239429,8.490110914,2.35E-07,-2.215030009,7.547239429,-10.56907186,2.75E-06,-2.046442051,7.547239429,-9.51699351,,,,
ILMN_1726809,BHLHB3,NM_030762.1,12,0.008707734,1.895311368,6.673967036,4.209934377,0.001680818,-2.056281266,6.673967036,-4.746665821,0.011441803,-1.825562507,6.673967036,-3.963053648,,,,
ILMN_2412927,GMPPB,NM_021971.1,3,0.0028343,1.896500657,8.036309628,4.878356282,1.96E-05,-2.61559511,8.036309628,-7.328784977,0.002789121,-1.872590232,8.036309628,-4.781645926,,,,
ILMN_1721391,ATP6V0B,NM_004047.3,1,0.000178585,1.897361222,10.47197931,6.567685613,0.000190065,-1.789914849,10.47197931,-5.969884606,0.000114844,-1.92993951,10.47197931,-6.742265308,,,,
ILMN_2396639,PDLIM7,NM_005451.3,5,8.03E-05,1.903076184,6.738048763,7.137677735,3.47E-06,-2.143980778,6.738048763,-8.459816494,0.002504668,-1.547977607,6.738048763,-4.846839012,,,,
ILMN_2186216,GOLPH4,NM_014498.2,3,0.00209959,1.903125746,8.883659464,5.063476928,0.002772503,-1.765945957,8.883659464,-4.474811851,0.015961852,-1.6132612,8.883659464,-3.763256759,,,,
ILMN_1700257,C4ORF32,NM_152400.1,4,0.003121961,1.903692758,7.989333227,4.817685515,0.000239952,-2.180610996,7.989333227,-5.83398287,0.000635174,-2.128190169,7.989333227,-5.651891521,,,,
ILMN_1777096,TDG,NM_003211.3,12,4.69E-05,1.905163159,9.783974968,7.492669453,1.96E-06,-2.139469211,9.783974968,-8.840977225,0.000375068,-1.672574396,9.783974968,-5.979138678,,,,
ILMN_1810274,HOXB2,NM_002145.3,17,0.008511621,1.905217349,8.885512881,4.222774351,0.000245758,-2.430718377,8.885512881,-5.818546899,0.011250312,-1.833926596,8.885512881,-3.972939021,,,,
ILMN_2148785,GBP1,NM_002053.1,1,0.017465286,1.907149075,7.922855598,3.778565742,0.000312883,-2.640096513,7.922855598,-5.68190232,0.001347955,-2.435721152,7.922855598,-5.210334179,,,,
ILMN_1701114,GBP1,NM_002053.1,1,0.00436932,1.90900925,7.303239679,4.620416175,5.94E-05,-2.530787584,7.303239679,-6.635170364,0.000252603,-2.386825713,7.303239679,-6.216663009,,,,
ILMN_2401822,FTSJ1,NM_012280.2,X,0.000164547,1.909119876,9.056161331,6.63103864,2.00E-05,-2.040977966,9.056161331,-7.315907991,5.44E-05,-2.026027412,9.056161331,-7.240514838,,,,
ILMN_3199780,LOC401076,XR_038201.1,,0.000106466,1.91005323,10.26392577,6.926256827,9.93E-07,-2.395399903,10.26392577,-9.349624632,0.000519215,-1.715666284,10.26392577,-5.777506019,,,,
ILMN_1789095,BMPR2,NM_001204.5,2,0.001703471,1.921447123,8.929169111,5.188979452,0.000187973,-2.121787481,8.929169111,-5.977007707,0.000463404,-2.089344611,8.929169111,-5.854581195,,,,
ILMN_1881909,HS.579631,BU536065,19,0.020302657,1.927521259,7.624049861,3.690188623,0.001637819,-2.331779908,7.624049861,-4.76084335,0.014367689,-1.975455193,7.624049861,-3.828318696,,,,
ILMN_1815130,MICALL1,NM_033386.2,22,0.000281362,1.929873597,7.627689235,6.287322708,1.03E-05,-2.245008348,7.627689235,-7.733791333,0.000475156,-1.840802471,7.627689235,-5.835437051,,,,
ILMN_2159272,PDCD1LG2,NM_025239.2,9,1.56E-05,1.937787522,6.489505505,8.304948672,3.44E-05,-1.743273608,6.489505505,-6.976977388,5.76E-05,-1.773771862,6.489505505,-7.194705349,,,,
ILMN_1825249,HS.453381,BU078529,6,0.023461794,1.939524944,6.628156851,3.605252554,0.012195213,-1.96760401,6.628156851,-3.683478266,0.012670077,-2.048610473,6.628156851,-3.903051199,,,,
ILMN_2367020,SEC61G,NM_014302.3,7,1.40E-05,1.941441787,12.63917313,8.391796112,6.00E-07,-2.158593854,12.63917313,-9.732930033,1.99E-05,-1.874350697,12.63917313,-7.946945603,,,,
ILMN_1695893,NXPH4,XM_938935.2,,0.001972449,1.941866688,6.788020716,5.102592168,0.000515951,-2.017274439,6.788020716,-5.395512466,0.035817985,-1.533034286,6.788020716,-3.28498175,,,,
ILMN_1695604,DCBLD1,NM_173674.1,6,5.53E-05,1.948090212,7.186142692,7.387611284,1.44E-06,-2.272224979,7.186142692,-9.092684555,3.02E-05,-1.996304861,7.186142692,-7.658459777,,,,
ILMN_2353642,ATP6V0B,NM_001039457.1,1,0.006481795,1.953664974,9.027422632,4.374451978,0.002642639,-1.991954456,9.027422632,-4.501230795,0.008306781,-1.88782959,9.027422632,-4.150543554,,,,
ILMN_1752046,SH2B3,NM_005475.1,12,0.004378944,1.954977401,9.512826666,4.618265286,0.000758369,-2.120321894,9.512826666,-5.177581492,0.002761306,-2.003620021,9.512826666,-4.787576679,,,,
